CNPJ_Fundo;Data_Referencia;Versao;Nome_Prestador;CNPJ_Prestador;Endereco;Telefone
27.771.586/0001-44;2018-12-01;1;APSIS CONSULTORIA EMPRESARIAL LTDA;27281922000170;Rua do Passeio, 62 - 6º andar - Centro - Rio de Janeiro - RJ;
27.771.586/0001-44;2018-12-01;1;DOMINUS ADMINISTRAÇÃO E SERVIÇOS LTDA;1667752000173;Al. Oscar Niemeyer, 119 - Vila da Serra - Nova Lima - MG;
28.152.272/0001-26;2018-08-01;1;REC Gestão de Recursos S.A;22828968000143;Rua Joaquim Floriano, 466, Torre B, 1º andar, conjunto 105, Itaim Bibi, CEP: 04534-002;(11) 2767-6304
28.152.272/0001-26;2018-12-01;2;REC Gestão de Recursos S.A;22828968000143;Rua Joaquim Floriano, 466, Torre B, 1º andar, conjunto 105, Itaim Bibi, CEP: 04534-002;(11) 2767-6304
28.267.530/0001-10;2018-12-01;1;DEXTER ENGENHARIA LTDA.;67566711000107;Av. Eng. Luiz Carlos Berrini, 828 - 11º andar - cj. 112 - São Paulo - SP;
28.516.650/0001-03;2018-12-01;4;Cyrela Brasil Realty S.A. Empreendimentos Participações;73.178.600/0001-18;R. do Rócio,109 - 2º andar- sala 01;4502-3445
28.693.595/0001-27;2018-12-01;1;N/A;0;N/A;N/A
28.737.771/0001-85;2018-06-01;1;CETIP;9358105000191;Alameda Xingu, 350 - Alphaville Industrial, Barueri - SP, 06455-000;(11) 3105-2463
28.830.325/0001-10;2018-06-01;1;DIGITAL IMPRESSÕES DE DADOS VARIÁVEIS LTDA;4025697000170;Av. Deputado Emilio Carlos, nº 2502 - Vila Santa Maria, Cidade São Paulo, Estado São Paulo;(11) 2608-7700
28.830.325/0001-10;2018-06-01;1;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DTVM;59281253000123;Praia de Botafogo, nº 501 - 5º andar parte -Cidade do Rio de Janeiro, Estado do Rio de Janeiro;(11) 3383-2000
29.852.732/0001-91;2018-11-01;1;;;;
29.852.732/0001-91;2018-11-01;1;;;;
29.852.732/0001-91;2018-11-01;1;;;;
29.852.732/0001-91;2018-11-01;1;;;;
29.852.732/0001-91;2018-11-01;1;;;;
29.852.732/0001-91;2018-11-01;1;;;;
29.852.732/0001-91;2018-11-01;1;;;;
29.852.732/0001-91;2018-11-01;1;;;;
30.166.700/0001-11;2018-06-01;1;TERCEIRO TABELIÃO DE NOTAS DE SÃO PAULO;61648457000100;Av. São Luis, nº 192 - Centro, Cidade São Paulo, Estado São Paulo;(11) 3120-8600
30.166.700/0001-11;2018-06-01;1;CETIP;9358105000191;Alameda Xingu, 350 - Alphaville Industrial, Barueri - SP, 06455-000;(11) 3105-2463
30.492.505/0001-81;2018-12-01;1;ITAU CORRETORA DE VALORES S/A;61194353000164;AV. BRIG. FARIA LIMA, 3400 - 10º ANDAR - SÃO PAULO/SP;(11) 2740-2575
