CNPJ_Fundo;Data_Referencia;Versao;Nome_Ativo;Valor;Valor_Justo;Percentual_Valorizacao_Desvalorizacao
17.282.011/0001-04;2016-12-01;1;Galpão Logístico São José - SC;106506000;S;0.047463
17.282.011/0001-04;2016-12-01;1;Galpão Logístico Cotia -SP;41216000;S;0.228129
17.282.011/0001-04;2016-12-01;1;Galpão Logístico Cachoerinha - RS;79207000;S;0.1635
17.282.011/0001-04;2016-12-01;1;Galpão Logístico Americana -SP;49005000;S;0.040888
17.282.011/0001-04;2016-12-01;1;Galpão Logístico - Campinas;33265000;S;0.089227
17.282.011/0001-04;2016-12-01;1;Edifício The City - JK 1455;16114000;S;0.39274
17.282.011/0001-04;2016-12-01;1;Edifício Maria Cecília Lara;10491000;S;0.105479
17.282.011/0001-04;2016-12-01;1;Edifício E-Tower;20664000;S;0.37485
17.282.011/0001-04;2016-12-01;1;Edifício Corporate Park;29792000;S;0.222487
17.308.805/0001-08;2016-12-01;2;SHOPPING LIGHT;190270000;S;0.1837
17.311.079/0001-74;2016-12-31;1;Praça Capital - Bloco 02, pavim. 1 a 5, conj. 001 e loja 08;97100000;S;-0.1637
17.329.029/0001-14;2016-12-01;1;APICE SECURITIZ 1 ª Emissão - Série nº 79;2056296.19;S;0.00189289555839447
17.329.029/0001-14;2016-12-01;1;RB CAPITAL CIA 1ª Emissão - Série nº 108;173414.36;S;0
17.329.029/0001-14;2016-12-01;1;SCCI - SECURITI 1ª Emissão - Série nº 21;1006013.25;S;0.00274690858573127
17.329.029/0001-14;2016-12-01;1;FII AESAPAR CI  ER;1261744.5;S;0.0394076759691729
17.329.029/0001-14;2016-12-01;1;FII BB PRGIICI  ER;726020;S;0.00202058747145571
17.329.029/0001-14;2016-12-01;1;FII BC FFII CI      MB;1075830.06;S;0.0183958387270107
17.329.029/0001-14;2016-12-01;1;FII BC FUND CI;663438.5;S;0.0297532068876931
17.329.029/0001-14;2016-12-01;1;FII BEES CRICI  ER;81550;S;0.000248430507775551
17.329.029/0001-14;2016-12-01;1;FII BMBRC LCCI      MB;454314;S;0.00339381427436233
17.329.029/0001-14;2016-12-01;1;FII CSHG LOGCI  ER;588500;S;0.00427125546425045
17.329.029/0001-14;2016-12-01;1;FII EXCELLENCI      MB;1151950.28;S;0.0130344677453124
17.329.029/0001-14;2016-12-01;1;FII FATOR VECI  ER;282900;S;0.00224585694932101
17.329.029/0001-14;2016-12-01;1;FII GEN SHOPCI  ER;2016040;S;0.00610956723212245
17.329.029/0001-14;2016-12-01;1;FII HG REAL CI  ER;2570000;S;0.0292212635601601
17.329.029/0001-14;2016-12-01;1;FII HOTEL MXCI  ER  MB;2853499.19;S;0.0177855059186459
17.329.029/0001-14;2016-12-01;1;FII JS REAL CI  ER;1951372.86;S;0.00859997139293741
17.329.029/0001-14;2016-12-01;1;FII KINEA RICI  ER;2366815.5;S;0.00334781906211381
17.329.029/0001-14;2016-12-01;1;FII LOURDES CI  ER  MB;772800;S;-0.000828052563412901
17.329.029/0001-14;2016-12-01;1;FII MAXI RENCI  ER;914892.37;S;0.0114172847424066
17.329.029/0001-14;2016-12-01;1;FII OLIMPIA CI  ER;601720.1;S;0.00138042747519459
17.329.029/0001-14;2016-12-01;1;FII P VARGASCI;140160;S;2.78419454272658E-05
17.329.029/0001-14;2016-12-01;1;FII RB GSB ICI  ER;303786.4;S;0.00159001829645982
17.329.029/0001-14;2016-12-01;1;FII RIONEGROCI  ER;454435.8;S;0.00287130165320908
17.329.029/0001-14;2016-12-01;1;FII SANT AGECI  ER;1101947.31;S;0.017140505100246
17.329.029/0001-14;2016-12-01;1;FII SDI LOG CI  ER;193362;S;0.00142237167642154
