CNPJ_Fundo;Data_Referencia;Versao;Total_Necessidades_Liquidez;Disponibilidades;Titulos_Publicos;Titulos_Privados;Fundos_Renda_Fixa;Total_Investido;Direitos_Bens_Imoveis;Terrenos;Imoveis_Renda_Acabados;Imoveis_Renda_Construcao;Imoveis_Venda_Acabados;Imoveis_Venda_Construcao;Outros_Direitos_Reais;Acoes;Debentures;Bonus_Subscricao;Certificados_Deposito_Valores_Mobiliarios;Cedulas_Debentures;Fundo_Acoes;FIP;FII;FDIC;Outras_Cotas_FI;Notas_Promissorias;Acoes_Sociedades_Atividades_FII;Cotas_Sociedades_Atividades_FII;CEPAC;CRI;Letras_Hipotecarias;LCI;LIG;Outros_Valores_Mobliarios;Valores_Receber;Contas_Receber_Aluguel;Contas_Receber_Venda_Imoveis;Outros_Valores_Receber;Rendimentos_Distribuir;Taxa_Administracao_Pagar;Taxa_Performance_Pagar;Obrigacoes_Aquisicao_Imoveis;Adiantamento_Venda_Imoveis;Adiantamento_Alugueis;Obrigacoes_Securitizacao_Recebiveis;Instrumentos_Financeiros_Derivativos;Provisoes_Contigencias;Outros_Valores_Pagar;Total_Passivo
11.701.400/0001-40;2016-12-01;1;2124644.57;4543.19;;;2120101.38;27840485.73;27840485.73;5625294.8;20298500;;;1916690.93;;;;;;;;;;;;;;;;;;;;;76620.02;76458.99;;161.03;631055.23;;;;;;;;;86912.5;717967.73
11.945.604/0001-27;2016-10-01;1;1034888.06;1034888.06;;;;43163957.41;8518775.25;;;;;8518775.25;;;;;;;;;;;;;34645182.16;;;;;;;;23993754.59;;22530217.02;1463537.57;200684.9;25602.23;;;;;;;;931786.24;1158073.37
11.945.604/0001-27;2016-11-01;2;882245.17;882245.17;;;;43758144.65;8518775.25;;;;;8518775.25;;;;;;;;;;;;;35239369.4;;;;;;;;22315505.25;;21727037.76;588467.49;45931.01;24914.34;;;;;;;;267727.55;338572.9
11.945.604/0001-27;2016-12-01;2;1128511.58;1128511.58;;;;43256695.19;8518775.25;;;;;8518775.25;;;;;;;;;;;;;34737919.94;;;;;;;;21608498.19;;21197200.13;411298.06;53960.4;26372.05;;;;;;;;321320.36;401652.81
12.358.507/0001-09;2016-10-01;1;273;273;0;0;0;639380466.07;637297189.06;400118222.55;237178966.51;0;0;0;0;0;0;0;0;0;0;0;0;0;2083277.01;0;0;0;0;0;0;0;0;0;84647.48;0;0;84647.48;0;63229.9;0;1333333.41;0;0;0;0;0;381694.13;1778257.44
12.358.507/0001-09;2016-11-01;1;71273.3;71273.3;;;;639471906.41;635937189.06;398758222.55;237178966.51;;;;;;;;;;;;;;3534717.35;;;;;;;;;;2902406.82;;2880198.2;22208.62;71000.3;63372.15;;666666.75;;;;;;381694.13;1182733.33
12.358.507/0001-09;2016-12-01;1;273;273;;;;638474499.95;635937189.06;398758222.55;237178966.51;;;;;;;;;;;;;;2537310.89;;;;;;;;;;1700928.36;;1645848.2;55080.16;;69908.61;;;;;;;;381694.13;451602.74
12.681.340/0001-04;2016-10-01;1;4468973.89;40297.4;4428676.49;0;0;141323171.67;141323171.67;0;133548153.71;7775017.96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;311995.03;0;0;311995.03;1351874.26;63488.32;0;0;0;0;0;0;0;61642.9;1477005.48
12.681.340/0001-04;2016-11-01;1;4409088.04;162901.5;4246186.54;0;0;141520849.55;141520849.55;0;133584463.71;7936385.84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1740623.62;0;0;1740623.62;1357224.14;63482.68;0;0;0;0;0;0;0;77669.35;1498376.17
12.681.340/0001-04;2016-12-01;1;4503109.18;48794.08;4454315.1;0;0;150009278.2;150009278.2;0;142529387;7479891.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;293590.66;0;0;293590.66;1728258.58;70054.81;0;0;0;0;0;0;0;88669.39;1886982.78
